question,dimension,factor,chi2,p_value,kendall_W,sig
Q1_judge_effect,P,DeepSeek-V3,109.958,0.0,0.407,***
Q1_judge_effect,P,Kimi-K2,113.615,0.0,0.421,***
Q1_judge_effect,P,Llama-3.3-70B,91.809,0.0,0.367,***
Q1_judge_effect,P,Gemma-3-27B,74.407,0.0,0.286,***
Q2_extractor_effect,P,DeepSeek-V3-685B,3.273,0.3515,0.028,ns
Q2_extractor_effect,P,Kimi-K2-1T,2.442,0.4859,0.021,ns
Q2_extractor_effect,P,Llama-3.3-70B,3.0,0.3916,0.026,ns
Q2_extractor_effect,P,Gemma-3-27B,3.0,0.3916,0.026,ns
Q2_extractor_effect,P,Qwen3-32B,3.882,0.2745,0.037,ns
Q2_extractor_effect,P,Llama-3.1-8B,1.065,0.7856,0.01,ns
Q2_extractor_effect,P,Llama-3.2-3B,6.96,0.0732,0.06,ns
Q2_extractor_effect,P,Qwen2.5-7B,2.561,0.4644,0.022,ns
Q2_extractor_effect,P,Claude-Sonnet-4.6,0.733,0.8653,0.006,ns
Q2_extractor_effect,P,GPT-4.1,7.565,0.0559,0.065,ns
Q1_judge_effect,I,DeepSeek-V3,31.952,0.0002,0.118,***
Q1_judge_effect,I,Kimi-K2,58.699,0.0,0.217,***
Q1_judge_effect,I,Llama-3.3-70B,58.469,0.0,0.234,***
Q1_judge_effect,I,Gemma-3-27B,44.852,0.0,0.173,***
Q2_extractor_effect,I,DeepSeek-V3-685B,3.667,0.2998,0.032,ns
Q2_extractor_effect,I,Kimi-K2-1T,12.888,0.0049,0.111,**
Q2_extractor_effect,I,Llama-3.3-70B,3.6,0.308,0.031,ns
Q2_extractor_effect,I,Gemma-3-27B,3.692,0.2967,0.032,ns
Q2_extractor_effect,I,Qwen3-32B,0.36,0.9484,0.003,ns
Q2_extractor_effect,I,Llama-3.1-8B,2.25,0.5222,0.02,ns
Q2_extractor_effect,I,Llama-3.2-3B,7.378,0.0608,0.064,ns
Q2_extractor_effect,I,Qwen2.5-7B,13.634,0.0034,0.118,**
Q2_extractor_effect,I,Claude-Sonnet-4.6,6.897,0.0752,0.059,ns
